id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
8723	genus	Chlorobium	7	1	3	2	2	1.86	0.64	[2, 1, 2, 1, 2, 2, 3]
8724	genus	GpIIa	26	1	3	1	1.5	1.58	0.63	[1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 2, 3]
8725	genus	Halorientalis	1	2	2	2	2	2.00	0.00	[2]
8726	genus	Variibacter	1	1	1	1	1	1.00	0.00	[1]
8727	genus	Azospirillum	6	4	10	9	9.0	8.33	1.97	[9, 9, 9, 9, 10, 4]
8728	genus	Halopiger	1	3	3	3	3	3.00	0.00	[3]
8729	genus	Yersinia	72	6	9	7	7.0	6.88	0.53	[7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 7, 7, 7, 7, 6, 7, 6, 9, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7]
8730	genus	Robiginitalea	1	2	2	2	2	2.00	0.00	[2]
8731	genus	Chloroflexus	3	3	3	3	3	3.00	0.00	[3, 3, 3]
8732	genus	Thermomonospora	1	4	4	4	4	4.00	0.00	[4]
8733	genus	Hirschia	1	2	2	2	2	2.00	0.00	[2]
8734	genus	Pediococcus	19	2	5	5	5	4.42	0.75	[5, 4, 5, 5, 2, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5]
8735	genus	Mahella	1	3	3	3	3	3.00	0.00	[3]
8736	genus	Spongiibacter	1	2	2	2	2	2.00	0.00	[2]
8737	genus	Flavobacterium	20	1	13	6	5.0	4.90	2.72	[6, 6, 5, 3, 4, 6, 6, 6, 1, 1, 1, 1, 4, 13, 6, 5, 5, 7, 5, 7]
8738	genus	Blastomonas	1	2	2	2	2	2.00	0.00	[2]
8739	genus	Ornithobacterium	2	3	3	3	3.0	3.00	0.00	[3, 3]
8740	genus	Pusillimonas	1	2	2	2	2	2.00	0.00	[2]
8741	genus	Planctopirus	1	2	2	2	2	2.00	0.00	[2]
8742	genus	Actinoalloteichus	4	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3]
